20:10:10:1A:00:9B 10.139.32.1
20:13:10:1A:00:8F 10.139.32.2
20:32:10:1A:02:B1 10.139.32.3
20:32:10:1A:02:B0 10.139.32.4
20:13:10:1A:01:4F 10.139.32.5
20:13:10:1A:00:5D 10.139.32.6
20:09:10:1A:00:48 10.139.32.7
2A:06:6F:02:22:72 10.139.32.8
20:09:10:1A:00:43 10.139.32.9
20:09:10:1A:00:42 10.139.32.10
00:E0:1D:68:60:86 10.139.32.11
00:E0:9A:68:6C:C3 10.139.32.12
00:E0:5B:68:45:38 10.139.32.13
2A:03:A1:24:05:1E 10.139.32.14
2A:03:A1:24:05:1A 10.139.32.15
2A:08:6F:02:08:A9 10.139.32.16
2A:03:A1:08:02:71 10.139.32.18
2A:02:6F:04:29:B0 10.139.32.19
2A:03:A1:08:02:72 10.139.32.20
20:05:10:1A:00:0B 10.139.32.101
2A:24:6F:02:14:91 10.139.32.102
20:05:10:1A:00:16 10.139.32.103
20:05:10:1A:00:60 10.139.32.104
20:10:10:1A:00:C1 10.139.32.109


