机柜	节点号	端口	IP地址	备注1
H1-01	机框-80.1	G1/01	10.133.80.1	已交付
H1-01	机框-80.2	G1/02	10.133.80.2	已交付
H1-01	机框-80.3	G1/03	10.133.80.3	已交付
H1-01	机框-80.4	G1/04	10.133.80.4	已交付
H1-01	机框-80.5	G1/05	10.133.80.5	已交付
H1-01	机框-80.6	G1/06	10.133.80.6	已交付
H1-01	机框-80.7	G1/07	10.133.80.7	已交付
H1-01	机框-80.8	G1/08	10.133.80.8	已交付
H1-01	机框-81.1	G1/09	10.133.80.9	已交付
H1-01	机框-81.2	G1/10	10.133.80.10	已交付
H1-01	机框-81.3	G1/11	10.133.80.11	已交付
H1-01	机框-81.4	G1/12	10.133.80.12	已交付
H1-01	机框-81.5	G1/13	10.133.80.13	已交付
H1-01	机框-81.6	G1/14	10.133.80.14	已交付
H1-01	机框-81.7	G1/15	10.133.80.15	已交付
H1-01	机框-81.8	G1/16	10.133.80.16	已交付
H1-03	机框-85.1	G1/01	10.133.80.17	2021.02.08退还
H1-03	机框-85.2	G1/02	10.133.80.18	已交付
H1-03	机框-85.3	G1/03	10.133.80.19	已交付
H1-03	机框-85.4	G1/04	10.133.80.20	已交付
H1-03	机框-85.5	G1/05	10.133.80.21	2021.02.08退还
H1-03	机框-85.6	G1/06	10.133.80.22	已交付
H1-03	机框-85.7	G1/07	10.133.80.23	已交付
H1-03	机框-85.8	G1/08	10.133.80.24	已交付
H1-03	机框-86.1	G1/09	10.133.80.25	已交付
H1-03	机框-86.2	G1/10	10.133.80.26	已交付
H1-03	机框-86.3	G1/11	10.133.80.27	2021.02.08退还
H1-03	机框-86.4	G1/12	10.133.80.28	已交付
H1-03	机框-86.5	G1/13	10.133.80.29	已交付
H1-03	机框-86.6	G1/14	10.133.80.30	已交付
H1-03	机框-86.7	G1/15	10.133.80.31	已交付
H1-03	机框-86.8	G1/16	10.133.80.32	已交付
H1-05	机框-90.1	G1/01	10.133.80.33	已交付
H1-05	机框-90.2	G1/02	10.133.80.34	已交付
H1-05	机框-90.3	G1/03	10.133.80.35	已交付
H1-05	机框-90.4	G1/04	10.133.80.36	已交付
H1-05	机框-90.5	G1/05	10.133.80.37	已交付
H1-05	机框-90.6	G1/06	10.133.80.38	已交付
