机柜	节点	ip
V01	1.1	10.116.9.157
V01	1.2	10.116.9.13
V01	1.3	10.116.8.37
V01	1.4	10.116.8.236
V01	1.7	10.116.8.143
V01	1.8	10.116.9.171
V01	2.1	10.116.9.199
V01	2.2	10.116.9.53
V01	2.3	10.116.8.100
V01	2.4	10.116.8.44
V01	2.5	10.116.8.97
V01	2.6	10.116.8.195
V01	2.7	10.116.9.111
V01	2.8	10.116.8.206
V02	3.2	10.116.9.14
V02	3.3	10.116.8.216
V02	3.4	10.116.8.43
V02	3.5	10.116.8.69
V02	3.6	10.116.9.42
V02	3.7	10.116.8.56
V02	3.8	10.116.8.8
V02	4.1	10.116.9.203
V02	4.2	10.116.8.196
V02	4.3	10.116.8.142
V02	4.4	10.116.8.121
V02	4.5	10.116.8.102
V02	4.6	10.116.8.65
V02	4.7	10.116.8.199
V02	4.8	10.116.8.49
V03	5.1	10.116.8.234
V03	5.2	10.116.8.137
V03	5.3	10.116.8.109
V03	5.4	10.116.9.28
V03	5.5	10.116.8.63
V03	5.6	10.116.9.23
V03	5.7	10.116.8.126
V03	5.8	10.116.9.38
V03	6.1	10.116.8.221
V03	6.2	10.116.8.79
V03	6.3	10.116.8.71
V03	6.4	10.116.8.238
V03	6.5	10.116.9.32
V03	6.6	10.116.8.118
V03	6.7	10.116.8.90
V03	6.8	10.116.8.16
V03	7.1	10.116.9.35
V03	7.2	10.116.8.132
V03	7.3	10.116.8.62
V03	7.4	10.116.8.164
V03	7.5	10.116.8.214
V03	7.6	10.116.8.7
V03	7.7	10.116.8.86
V03	7.8	10.116.8.180
V03	8.1	10.116.9.51
V03	8.2	10.116.8.29
V03	8.3	10.116.8.14
V03	8.4	10.116.8.215
V03	8.5	10.116.8.53
V03	8.6	10.116.8.246
V03	8.7	10.116.8.148
V03	8.8	10.116.9.223
V03	9.1	10.116.8.32
V03	9.2	10.116.8.237
V03	9.3	10.116.9.44
V03	9.4	10.116.8.165
V03	9.5	10.116.8.169
V03	9.6	10.116.8.73
V03	9.7	10.116.8.12
V03	9.8	10.116.9.24
V04	10.1	10.116.8.208
V04	10.2	10.116.8.51
V04	10.3	10.116.8.197
V04	10.4	10.116.8.23
V04	10.5	10.116.9.30
V04	10.6	10.116.8.198
V04	10.7	10.116.9.130
V04	10.8	10.116.8.66
V04	11.1	10.116.9.151
V04	11.2	10.116.8.130
V04	11.3	10.116.8.186
V04	11.4	10.116.8.47
V04	11.5	10.116.9.31
V04	11.6	10.116.8.120
V04	11.7	10.116.8.223
V04	11.8	10.116.8.17
V04	12.1	10.116.8.70
V04	12.3	10.116.9.216
V04	12.4	10.116.8.248
V04	12.5	10.116.9.52
V04	12.6	10.116.9.21
V04	12.7	10.116.8.6
V04	12.8	10.116.9.8
V04	13.1	10.116.9.10
V04	13.2	10.116.8.211
V04	13.4	10.116.8.160
V04	13.5	10.116.9.183
V04	13.6	10.116.9.169
V04	13.7	10.116.9.33
V04	13.8	10.116.9.224
V04	14.1	10.116.8.83
V04	14.2	10.116.8.3
V04	14.3	10.116.9.26
V04	14.5	10.116.8.114
V04	14.6	10.116.8.183
V04	14.7	10.116.8.170
V04	14.8	10.116.8.19
V05	15.1	10.116.9.74
V05	15.2	10.116.9.20
V05	15.3	10.116.8.224
V05	15.4	10.116.9.56
V05	15.5	10.116.9.5
V05	15.6	10.116.8.241
V05	15.7	10.116.9.48
V05	16.1	10.116.8.168
V05	16.2	10.116.8.231
V05	16.3	10.116.8.156
V05	16.4	10.116.8.193
V05	16.5	10.116.8.82
V05	16.6	10.116.8.173
V05	16.7	10.116.8.25
V05	17.1	10.116.8.117
V05	17.2	10.116.8.141
V05	17.3	10.116.8.9
V05	17.4	10.116.8.133
V05	17.5	10.116.8.60
V05	17.6	10.116.8.218
V05	17.7	10.116.8.175
V05	17.8	10.116.8.138
V05	18.1	10.116.8.155
V05	18.2	10.116.8.107
V05	18.3	10.116.8.213
V05	18.4	10.116.8.194
V05	18.5	10.116.8.35
V05	18.6	10.116.8.68
V05	18.7	10.116.8.131
V05	18.8	10.116.8.189
V05	19.1	10.116.8.59
V05	19.2	10.116.9.191
V05	19.3	10.116.8.128
V05	19.4	10.116.8.181
V05	19.5	10.116.9.133
V05	19.6	10.116.8.174
